timestamp,velocity,steering,pwm_green,pwm_red,gpio12_up,gpio13_down,gpio14_left,gpio15_right
1776319780.2189,24.0000,-0.1657,76,42,1,0,1,0
1776319786.0465,40.8000,-0.1723,130,43,1,0,1,0
1776319791.4619,52.5600,-0.1814,167,46,1,0,1,0
1776319796.9000,60.7920,-0.1875,193,47,1,0,1,0
1776319802.3286,66.5544,-0.1844,212,47,1,0,1,0
1776319807.7368,70.5881,-0.1917,224,48,1,0,1,0
1776320090.3960,24.0000,-0.1657,76,42,1,0,1,0
1776320096.0244,40.8000,-0.1723,130,43,1,0,1,0
1776320101.4434,52.5600,-0.1814,167,46,1,0,1,0
1776339122.6606,24.0000,-0.1657,76,42,1,0,1,0
1776339128.6333,40.8000,-0.1723,130,43,1,0,1,0
1776339134.0363,52.5600,-0.1814,167,46,1,0,1,0
1776339139.4284,60.7920,-0.1875,193,47,1,0,1,0
1776339144.8129,66.5544,-0.1844,212,47,1,0,1,0
1776339150.2121,70.5881,-0.1917,224,48,1,0,1,0
1776339651.3181,60.8000,-0.0249,193,0,1,0,0,0
1776339657.0845,61.6000,-0.0470,196,0,1,0,0,0
1776339662.4772,62.4000,-0.0671,198,17,1,0,1,0
1776339667.8514,63.2000,-0.0852,201,21,1,0,1,0
1776339673.2978,64.0000,-0.1001,203,25,1,0,1,0
1776339678.6574,64.8000,-0.1138,206,29,1,0,1,0
1776339684.0344,65.6000,-0.1255,209,32,1,0,1,0
1776339689.4713,66.4000,-0.1347,211,34,1,0,1,0
1776339694.8333,67.2000,-0.1373,214,35,1,0,1,0
1776339700.2102,68.0000,-0.1350,216,34,1,0,1,0
1776339705.6331,66.0000,-0.1291,210,32,1,0,1,0
1776339711.0103,66.8000,-0.1209,212,30,1,0,1,0
1776339716.3982,67.6000,-0.1114,215,28,1,0,1,0
1776339721.7933,68.4000,-0.1018,218,25,1,0,1,0
1776339727.1676,69.2000,-0.0923,220,23,1,0,1,0
1776339732.5484,70.0000,-0.0834,223,21,1,0,1,0
1776339737.9086,70.8000,-0.0749,225,19,1,0,1,0
1776339743.3090,71.5360,-0.0670,228,17,1,0,1,0
1776339748.6816,72.2131,-0.0593,230,15,1,0,1,0
1776339754.0657,72.8361,-0.0522,232,13,1,0,1,0
1776339759.4555,73.4092,-0.0459,233,0,1,0,0,0
1776341814.1075,60.8000,-0.0249,193,0,1,0,0,0
1776341814.4636,61.6000,-0.0470,196,0,1,0,0,0
1776341814.8617,62.4000,-0.0671,198,17,1,0,1,0
1776341815.2321,63.2000,-0.0852,201,21,1,0,1,0
1776341815.5652,64.0000,-0.1001,203,25,1,0,1,0
1776341815.8881,64.8000,-0.1138,206,29,1,0,1,0
1776341816.2510,65.6000,-0.1255,209,32,1,0,1,0
1776341816.5804,66.4000,-0.1347,211,34,1,0,1,0
1776341816.9003,67.2000,-0.1373,214,35,1,0,1,0
1776341817.2422,68.0000,-0.1350,216,34,1,0,1,0
1776341817.5650,66.0000,-0.0841,210,21,1,0,1,0
1776341817.8866,66.8000,-0.0826,212,21,1,0,1,0
1776341818.2277,67.6000,-0.0789,215,20,1,0,1,0
1776341818.5568,68.4000,-0.0742,218,18,1,0,1,0
1776341818.8800,69.2000,-0.0688,220,17,1,0,1,0
1776341819.2341,70.0000,-0.0634,223,16,1,0,1,0
1776341819.5909,70.8000,-0.0580,225,14,1,0,1,0
1776341820.0020,71.5360,-0.0525,228,13,1,0,1,0
1776341820.4705,72.2131,-0.0470,230,0,1,0,0,0
1776341820.8185,72.8361,-0.0418,232,0,1,0,0,0
1776341821.1494,73.4092,-0.0370,233,0,1,0,0,0
1776341821.5117,73.9364,-0.0329,235,0,1,0,0,0
1776341821.8453,74.4215,-0.0303,237,0,1,0,0,0
1776341822.1884,74.8678,-0.0305,238,0,1,0,0,0
1776341822.5513,75.2784,-0.0306,239,0,1,0,0,0
1776341822.8925,73.2784,-0.0326,233,0,1,0,0,0
1776341823.2339,73.8161,-0.0398,235,0,1,0,0,0
1776341823.5847,74.3108,-0.0477,236,0,1,0,0,0
1776341823.9185,74.7660,-0.0575,238,14,1,0,1,0
1776341824.2935,72.7660,-0.0230,231,0,1,0,0,0
1776341824.8257,73.3447,-0.0391,233,0,1,0,0,0
1776341825.1671,73.8771,-0.0550,235,14,1,0,1,0
1776341825.5343,74.3669,-0.0694,237,17,1,0,1,0
1776341825.8769,74.8176,-0.0838,238,21,1,0,1,0
1776341826.2421,75.2322,-0.0962,239,24,1,0,1,0
1776341826.5927,75.6136,-0.1083,241,27,1,0,1,0
1776341826.9392,75.9645,-0.1200,242,30,1,0,1,0
1776341827.3265,76.2874,-0.1303,243,33,1,0,1,0
1776341827.6727,76.5844,-0.1339,244,34,1,0,1,0
1776341827.9966,76.8576,-0.1334,244,34,1,0,1,0
1776341828.3449,77.1090,-0.1277,245,32,1,0,1,0
1776341828.9249,77.3403,-0.1182,246,30,1,0,1,0
1776341829.2998,77.5531,-0.1075,247,27,1,0,1,0
1776341829.6227,77.7488,-0.0968,247,24,1,0,1,0
1776341829.9442,77.9289,-0.0866,248,22,1,0,1,0
1776341830.3100,75.9289,-0.0318,242,0,1,0,0,0
1776341830.6673,73.9289,0.0157,235,0,1,0,0,0
1776341831.0202,71.9289,0.0564,229,14,1,0,0,1
1776341831.3901,72.5746,0.0464,231,0,1,0,0,0
1776341831.7441,70.5746,0.0832,224,21,1,0,0,1
1776341832.0707,68.5746,0.1149,218,29,1,0,0,1
1776341832.4339,69.3746,0.0970,221,24,1,0,0,1
1776341832.7686,67.3746,0.1271,214,32,1,0,0,1
1776341833.0984,68.1746,0.1077,217,27,1,0,0,1
1776341833.4755,66.1746,0.1362,210,34,1,0,0,1
1776341833.8170,64.1746,0.1606,204,40,1,0,0,1
1776341834.1524,64.9746,0.1363,207,34,1,0,0,1
1776341834.5041,62.9746,0.1606,200,40,1,0,0,1
1776341834.9225,63.7746,0.1364,203,34,1,0,0,1
1776341835.3160,64.5746,0.1158,205,29,1,0,0,1
1776341835.6600,65.3746,0.0983,208,25,1,0,0,1
1776341835.9819,66.1746,0.0834,210,21,1,0,0,1
1776341836.3337,64.1746,0.1157,204,29,1,0,0,1
1776341836.6789,62.1746,0.1432,198,36,1,0,0,1
1776341837.0095,60.1746,0.1666,191,42,1,0,0,1
1776341837.3877,58.1746,0.1865,185,47,1,0,0,1
1776341837.7642,58.9746,0.1584,187,40,1,0,0,1
1776341838.0957,59.7746,0.1344,190,34,1,0,0,1
1776341838.4401,57.7746,0.1591,184,40,1,0,0,1
1776341838.7843,58.5746,0.1351,186,34,1,0,0,1
1776341839.1144,59.3746,0.1147,189,29,1,0,0,1
1776341839.4851,60.1746,0.0973,191,24,1,0,0,1
1776341839.8325,58.1746,0.1276,185,32,1,0,0,1
1776341840.3167,58.9746,0.1083,187,27,1,0,0,1
1776341840.7590,59.7746,0.0919,190,23,1,0,0,1
1776341841.1681,60.5746,0.0780,193,19,1,0,0,1
1776341841.5617,61.3746,0.0662,195,16,1,0,0,1
1776341841.8971,62.1746,0.0561,198,14,1,0,0,1
1776341842.4548,62.9746,0.0475,200,0,1,0,0,0
1776341842.7942,63.7746,0.0403,203,0,1,0,0,0
1776341843.1240,64.5746,0.0341,205,0,1,0,0,0
1776341843.4649,65.3746,0.0288,208,0,1,0,0,0
1776341843.7850,66.1746,0.0244,210,0,1,0,0,0
1776341844.2290,66.9746,0.0206,213,0,1,0,0,0
1776341844.6185,67.7746,0.0173,216,0,1,0,0,0
1776341844.9525,68.5746,0.0146,218,0,1,0,0,0
1776341845.3027,69.3746,0.0123,221,0,1,0,0,0
1776341845.6243,70.1746,0.0103,223,0,1,0,0,0
1776341845.9677,70.9606,0.0086,226,0,1,0,0,0
1776341846.4075,71.6838,0.0072,228,0,1,0,0,0
1776341846.7581,72.3491,0.0060,230,0,1,0,0,0
1776341847.2016,72.9612,0.0049,232,0,1,0,0,0
1776341847.5866,73.5243,0.0040,234,0,1,0,0,0
1776341847.9128,74.0423,0.0033,236,0,1,0,0,0
1776341848.2600,74.5189,0.0027,237,0,1,0,0,0
1776341848.5906,74.9574,0.0021,238,0,1,0,0,0
1776341848.9472,75.3608,0.0017,240,0,1,0,0,0
1776341849.3228,75.7320,0.0013,241,0,1,0,0,0
1776341849.6488,76.0734,0.0009,242,0,1,0,0,0
1776341849.9759,76.3875,0.0007,243,0,1,0,0,0
1776341850.3509,76.6765,0.0004,244,0,1,0,0,0
1776341850.6988,76.9424,0.0002,245,0,1,0,0,0
1776341851.0246,77.1870,0.0000,246,0,1,0,0,0
1776341851.3847,77.4121,-0.0001,246,0,1,0,0,0
1776341851.7352,77.6191,-0.0002,247,0,1,0,0,0
1776341852.0630,77.8096,-0.0003,248,0,1,0,0,0
1776341852.4259,77.9848,-0.0004,248,0,1,0,0,0
1776341852.7682,78.1460,-0.0005,249,0,1,0,0,0
1776341853.1000,78.2943,-0.0006,249,0,1,0,0,0
1776341853.4621,78.4308,-0.0006,249,0,1,0,0,0
1776341853.8038,78.5563,-0.0007,250,0,1,0,0,0
1776341854.1452,78.6718,-0.0007,250,0,1,0,0,0
1776341854.5744,78.7781,-0.0007,251,0,1,0,0,0
1776341854.9310,76.7781,0.0442,244,0,1,0,0,0
1776341855.2945,77.0358,0.0375,245,0,1,0,0,0
1776341855.6419,77.2730,0.0317,246,0,1,0,0,0
1776341855.9674,77.4911,0.0268,247,0,1,0,0,0
1776341856.3292,77.6918,0.0226,247,0,1,0,0,0
1776341856.6882,77.8765,0.0191,248,0,1,0,0,0
1776341857.0166,78.0464,0.0161,248,0,1,0,0,0
1776341857.3745,76.0464,0.0585,242,14,1,0,0,1
1776341857.7244,74.0464,0.0946,236,24,1,0,0,1
1776341858.0522,74.5227,0.0803,237,20,1,0,0,1
1776341858.4116,72.5227,0.1131,231,28,1,0,0,1
1776341858.7563,70.5227,0.1410,224,35,1,0,0,1
1776341859.0854,71.2808,0.1197,227,30,1,0,0,1
1776341859.6303,71.9784,0.1016,229,25,1,0,0,1
1776341859.9594,72.6201,0.0862,231,21,1,0,0,1
1776341860.4384,70.6201,0.1182,225,30,1,0,0,1
1776341860.8312,68.6201,0.1453,218,37,1,0,0,1
1776341861.1756,69.4201,0.1234,221,31,1,0,0,1
1776341861.5413,70.2201,0.1047,223,26,1,0,0,1
1776341861.8649,71.0025,0.0889,226,22,1,0,0,1
1776341862.2067,71.7223,0.0754,228,19,1,0,0,1
1776341862.5677,72.3845,0.0639,230,16,1,0,0,1
1776341862.9045,70.3845,0.0992,224,25,1,0,0,1
1776341863.2730,71.1538,0.0842,226,21,1,0,0,1
1776341863.6510,71.8615,0.0714,229,18,1,0,0,1
1776341863.9824,72.5125,0.0606,231,15,1,0,0,1
1776341864.3328,73.1115,0.0513,233,13,1,0,0,1
1776341864.6799,73.6626,0.0435,234,0,1,0,0,0
1776341865.0033,74.1696,0.0368,236,0,1,0,0,0
1776341865.3789,74.6360,0.0312,237,0,1,0,0,0
1776341865.7693,75.0652,0.0264,239,0,1,0,0,0
1776341962.5344,60.8000,-0.0249,193,0,1,0,0,0
1776341963.3680,61.6000,-0.0470,196,0,1,0,0,0
1776341963.6948,62.4000,-0.0671,198,17,1,0,1,0
1776341964.0317,63.2000,-0.0852,201,21,1,0,1,0
1776341964.4090,64.0000,-0.1001,203,25,1,0,1,0
1776341964.7404,64.8000,-0.1138,206,29,1,0,1,0
1776341965.0754,65.6000,-0.1255,209,32,1,0,1,0
1776341965.4164,66.4000,-0.1347,211,34,1,0,1,0
1776341965.8188,67.2000,-0.1373,214,35,1,0,1,0
1776341966.1701,68.0000,-0.1350,216,34,1,0,1,0
1776341966.5361,66.0000,-0.0841,210,21,1,0,1,0
1776341966.8726,66.8000,-0.0826,212,21,1,0,1,0
1776341967.2211,67.6000,-0.0789,215,20,1,0,1,0
1776341967.5742,68.4000,-0.0742,218,18,1,0,1,0
1776341967.9046,69.2000,-0.0688,220,17,1,0,1,0
1776341968.2599,70.0000,-0.0634,223,16,1,0,1,0
1776341968.5915,70.8000,-0.0580,225,14,1,0,1,0
1776341968.9250,71.5360,-0.0525,228,13,1,0,1,0
1776341969.2963,72.2131,-0.0470,230,0,1,0,0,0
1776341969.6280,72.8361,-0.0418,232,0,1,0,0,0
1776341969.9617,73.4092,-0.0370,233,0,1,0,0,0
1776341970.3194,73.9364,-0.0329,235,0,1,0,0,0
1776341970.6525,74.4215,-0.0303,237,0,1,0,0,0
1776341970.9844,74.8678,-0.0305,238,0,1,0,0,0
1776341971.3479,75.2784,-0.0306,239,0,1,0,0,0
1776341971.6803,73.2784,-0.0326,233,0,1,0,0,0
1776341972.0159,73.8161,-0.0398,235,0,1,0,0,0
1776341972.3692,74.3108,-0.0477,236,0,1,0,0,0
1776341972.6974,74.7660,-0.0575,238,14,1,0,1,0
1776341973.0313,72.7660,-0.0230,231,0,1,0,0,0
1776341973.3973,73.3447,-0.0391,233,0,1,0,0,0
1776341973.7259,73.8771,-0.0550,235,14,1,0,1,0
1776341974.0634,74.3669,-0.0694,237,17,1,0,1,0
1776341974.4741,74.8176,-0.0838,238,21,1,0,1,0
1776341974.8018,75.2322,-0.0962,239,24,1,0,1,0
1776341975.1509,75.6136,-0.1083,241,27,1,0,1,0
1776341975.4950,75.9645,-0.1200,242,30,1,0,1,0
1776341975.8280,76.2874,-0.1303,243,33,1,0,1,0
1776341976.1754,76.5844,-0.1339,244,34,1,0,1,0
1776341976.5327,76.8576,-0.1334,244,34,1,0,1,0
1776341976.8613,77.1090,-0.1277,245,32,1,0,1,0
1776341977.2127,77.3403,-0.1182,246,30,1,0,1,0
1776341977.5424,77.5531,-0.1075,247,27,1,0,1,0
1776341977.8698,77.7488,-0.0968,247,24,1,0,1,0
1776341978.2259,77.9289,-0.0866,248,22,1,0,1,0
1776341978.5634,75.9289,-0.0318,242,0,1,0,0,0
1776341978.9593,73.9289,0.0157,235,0,1,0,0,0
1776341979.3345,71.9289,0.0564,229,14,1,0,0,1
1776341979.6750,72.5746,0.0464,231,0,1,0,0,0
1776341980.0280,70.5746,0.0832,224,21,1,0,0,1
1776341980.4806,68.5746,0.1149,218,29,1,0,0,1
1776341980.8349,69.3746,0.0970,221,24,1,0,0,1
1776341981.1822,67.3746,0.1271,214,32,1,0,0,1
1776341981.5193,68.1746,0.1077,217,27,1,0,0,1
1776341981.8479,66.1746,0.1362,210,34,1,0,0,1
1776341982.1963,64.1746,0.1606,204,40,1,0,0,1
1776341982.5394,64.9746,0.1363,207,34,1,0,0,1
1776341982.8721,62.9746,0.1606,200,40,1,0,0,1
1776341983.2310,63.7746,0.1364,203,34,1,0,0,1
1776341983.5640,64.5746,0.1158,205,29,1,0,0,1
1776341983.8949,65.3746,0.0983,208,25,1,0,0,1
1776341984.2501,66.1746,0.0834,210,21,1,0,0,1
1776341984.5825,64.1746,0.1157,204,29,1,0,0,1
1776341984.9157,62.1746,0.1432,198,36,1,0,0,1
1776341985.2755,60.1746,0.1666,191,42,1,0,0,1
1776341985.6078,58.1746,0.1865,185,47,1,0,0,1
1776341985.9390,58.9746,0.1584,187,40,1,0,0,1
1776341986.3056,59.7746,0.1344,190,34,1,0,0,1
1776341986.6409,57.7746,0.1591,184,40,1,0,0,1
1776341986.9740,58.5746,0.1351,186,34,1,0,0,1
1776341987.3365,59.3746,0.1147,189,29,1,0,0,1
1776341987.6738,60.1746,0.0973,191,24,1,0,0,1
1776341988.0059,58.1746,0.1276,185,32,1,0,0,1
1776341988.3639,58.9746,0.1083,187,27,1,0,0,1
1776341988.6945,59.7746,0.0919,190,23,1,0,0,1
1776341989.0470,60.5746,0.0780,193,19,1,0,0,1
1776341989.4005,61.3746,0.0662,195,16,1,0,0,1
1776341989.7295,62.1746,0.0561,198,14,1,0,0,1
1776341990.0732,62.9746,0.0475,200,0,1,0,0,0
1776341990.4783,63.7746,0.0403,203,0,1,0,0,0
1776341990.8171,64.5746,0.0341,205,0,1,0,0,0
1776341991.1629,65.3746,0.0288,208,0,1,0,0,0
1776341991.5021,66.1746,0.0244,210,0,1,0,0,0
1776341991.8326,66.9746,0.0206,213,0,1,0,0,0
1776341992.2961,67.7746,0.0173,216,0,1,0,0,0
1776341992.6499,68.5746,0.0146,218,0,1,0,0,0
1776341992.9833,69.3746,0.0123,221,0,1,0,0,0
1776341993.3495,70.1746,0.0103,223,0,1,0,0,0
1776341993.6828,70.9606,0.0086,226,0,1,0,0,0
1776341994.0117,71.6838,0.0072,228,0,1,0,0,0
1776341994.3703,72.3491,0.0060,230,0,1,0,0,0
1776341994.7016,72.9612,0.0049,232,0,1,0,0,0
1776341995.0357,73.5243,0.0040,234,0,1,0,0,0
1776341995.3858,74.0423,0.0033,236,0,1,0,0,0
1776341995.7201,74.5189,0.0027,237,0,1,0,0,0
1776341996.0575,74.9574,0.0021,238,0,1,0,0,0
1776341996.4122,75.3608,0.0017,240,0,1,0,0,0
1776341996.7458,75.7320,0.0013,241,0,1,0,0,0
1776341997.0877,76.0734,0.0009,242,0,1,0,0,0
1776341997.4377,76.3875,0.0007,243,0,1,0,0,0
1776341997.7729,76.6765,0.0004,244,0,1,0,0,0
1776341998.1160,76.9424,0.0002,245,0,1,0,0,0
1776341998.4711,77.1870,0.0000,246,0,1,0,0,0
1776341998.8049,77.4121,-0.0001,246,0,1,0,0,0
1776341999.1494,77.6191,-0.0002,247,0,1,0,0,0
1776341999.4906,77.8096,-0.0003,248,0,1,0,0,0
1776341999.8225,77.9848,-0.0004,248,0,1,0,0,0
1776342000.1767,78.1460,-0.0005,249,0,1,0,0,0
1776342000.5397,78.2943,-0.0006,249,0,1,0,0,0
1776342000.8761,78.4308,-0.0006,249,0,1,0,0,0
1776342001.2318,78.5563,-0.0007,250,0,1,0,0,0
1776342001.5652,78.6718,-0.0007,250,0,1,0,0,0
1776342001.9010,78.7781,-0.0007,251,0,1,0,0,0
1776342002.2592,76.7781,0.0442,244,0,1,0,0,0
1776342002.5964,77.0358,0.0375,245,0,1,0,0,0
1776342002.9298,77.2730,0.0317,246,0,1,0,0,0
1776342003.2874,77.4911,0.0268,247,0,1,0,0,0
1776342003.6203,77.6918,0.0226,247,0,1,0,0,0
1776342003.9552,77.8765,0.0191,248,0,1,0,0,0
1776342004.3337,78.0464,0.0161,248,0,1,0,0,0
1776342004.6599,76.0464,0.0585,242,14,1,0,0,1
1776342004.9951,74.0464,0.0946,236,24,1,0,0,1
1776342005.3748,74.5227,0.0803,237,20,1,0,0,1
1776342005.7083,72.5227,0.1131,231,28,1,0,0,1
1776342006.0439,70.5227,0.1410,224,35,1,0,0,1
1776342006.3961,71.2808,0.1197,227,30,1,0,0,1
1776342006.7381,71.9784,0.1016,229,25,1,0,0,1
1776342007.0784,72.6201,0.0862,231,21,1,0,0,1
1776342007.4314,70.6201,0.1182,225,30,1,0,0,1
1776342007.7637,68.6201,0.1453,218,37,1,0,0,1
1776342008.1072,69.4201,0.1234,221,31,1,0,0,1
1776342008.4574,70.2201,0.1047,223,26,1,0,0,1
1776342008.7928,71.0025,0.0889,226,22,1,0,0,1
1776342009.1412,71.7223,0.0754,228,19,1,0,0,1
1776342009.4854,72.3845,0.0639,230,16,1,0,0,1
1776342009.9130,70.3845,0.0992,224,25,1,0,0,1
1776342010.2893,71.1538,0.0842,226,21,1,0,0,1
1776342010.6265,71.8615,0.0714,229,18,1,0,0,1
1776342010.9595,72.5125,0.0606,231,15,1,0,0,1
1776342011.3276,73.1115,0.0513,233,13,1,0,0,1
1776342011.6607,73.6626,0.0435,234,0,1,0,0,0
1776342011.9948,74.1696,0.0368,236,0,1,0,0,0
1776342012.3546,74.6360,0.0312,237,0,1,0,0,0
1776342012.6957,75.0652,0.0264,239,0,1,0,0,0
1776342669.6299,60.8000,-0.0249,193,0,1,0,0,0
1776342670.4211,61.6000,-0.0470,196,0,1,0,0,0
1776342670.7621,62.4000,-0.0671,198,17,1,0,1,0
1776342671.1482,63.2000,-0.0852,201,21,1,0,1,0
1776342671.5396,64.0000,-0.1001,203,25,1,0,1,0
1776342671.8701,64.8000,-0.1138,206,29,1,0,1,0
1776342672.2432,65.6000,-0.1255,209,32,1,0,1,0
1776342672.5823,66.4000,-0.1347,211,34,1,0,1,0
1776342672.9117,67.2000,-0.1373,214,35,1,0,1,0
1776342673.4267,68.0000,-0.1350,216,34,1,0,1,0
1776342673.7831,66.0000,-0.0841,210,21,1,0,1,0
1776342674.1254,66.8000,-0.0826,212,21,1,0,1,0
1776342674.4695,67.6000,-0.0789,215,20,1,0,1,0
1776342674.7902,68.4000,-0.0742,218,18,1,0,1,0
1776342675.1285,69.2000,-0.0688,220,17,1,0,1,0
1776342675.4710,70.0000,-0.0634,223,16,1,0,1,0
1776342675.8594,70.8000,-0.0580,225,14,1,0,1,0
1776342676.6821,71.5360,-0.0525,228,13,1,0,1,0
1776342677.1096,72.2131,-0.0470,230,0,1,0,0,0
1776342677.4621,72.8361,-0.0418,232,0,1,0,0,0
1776342677.8507,73.4092,-0.0370,233,0,1,0,0,0
1776342678.3423,73.9364,-0.0329,235,0,1,0,0,0
1776342678.6920,74.4215,-0.0303,237,0,1,0,0,0
1776342679.0225,74.8678,-0.0305,238,0,1,0,0,0
1776342679.4317,75.2784,-0.0306,239,0,1,0,0,0
1776342680.1418,73.2784,-0.0326,233,0,1,0,0,0
1776342680.6435,73.8161,-0.0398,235,0,1,0,0,0
1776342680.9833,74.3108,-0.0477,236,0,1,0,0,0
1776342681.3508,74.7660,-0.0575,238,14,1,0,1,0
